HIP,RAJ2000,DEJ2000,Dist,Teff,mag,Lum,Mass,Rad,CHZ,OHZ,plx
63774,13 04 19.0199,+50 04 05.7255,98.0,5900,8.1983,4.6,1.11,2.0,1.5,2.1,10.25
63775,13 04 19.2046,-17 14 14.3694,170.0,6570,7.9834,16.0,1.4,3.06,3.0,4.0,6.01
63778,13 04 21.1869,-26 41 12.1532,70.9,5900,8.6888,1.7,1.11,1.24,0.9,1.3,14.11
63780,13 04 21.4970,-38 59 23.5314,130.0,6056,9.0365,3.8,1.19,1.8,1.4,1.9,7.88
63781,13 04 22.4282,-01 58 25.3670,150.0,6734,9.3833,3.6,1.4,1.4,1.2,1.8,6.55
63782,13 04 22.8168,-11 41 56.1534,130.0,6121,9.5756,2.3,1.23,1.3,1.1,1.5,7.81
63785,13 04 25.1564,+41 33 16.3505,240.0,6419,9.2336,10.6,1.4,2.6,2.2,3.0,4.1
63789,13 04 26.9774,-13 15 45.7692,130.0,5564,9.7747,2.3,0.96,1.6,1.1,1.6,7.56
63791,13 04 28.1544,-36 50 01.8197,76.0,5658,9.8705,0.66,1.0,0.85,0.6,0.8,13.19
63792,13 04 28.5288,-34 08 59.7550,68.0,6062,9.0965,1.0,1.19,0.909,0.7,0.99,14.8
63793,13 04 28.8312,-38 08 55.6608,290.0,5748,10.0605,8.3,1.0,2.9,2.1,3.0,3.45
63796,13 04 30.7298,+08 39 11.4524,170.0,6342,8.2049,13.0,1.4,3.0,2.5,3.0,5.73
63797,13 04 31.0237,-65 55 18.3406,93.0,5557,8.6062,3.3,0.96,2.0,1.4,1.9,10.74
63798,13 04 33.4180,-22 49 33.1962,63.0,6109,8.8204,1.11,1.22,0.94,0.7,1.0,15.99
63799,13 04 33.5263,-52 10 41.8889,124.0,5657,9.5407,2.4,1.0,1.6,1.1,1.6,8.06
63800,13 04 35.0396,+30 06 21.4422,130.0,5917,10.6951,0.77,1.12,0.84,0.6,0.9,7.84
63801,13 04 36.3840,+08 41 58.2835,107.0,6032,9.7754,1.4,1.17,1.07,0.8,1.2,9.35
63806,13 04 42.4886,+51 12 10.1321,211.0,7158,8.5544,14.0,1.6,2.4,2.4,3.0,4.74
63812,13 04 44.5514,-66 51 12.9507,140.0,6564,9.0726,4.08,1.4,1.6,1.3,1.9,7.15
63814,13 04 45.2612,-40 40 57.0595,100.0,6518,8.0206,5.6,1.4,1.9,1.6,2.2,10.01
63815,13 04 45.8220,+49 39 46.6156,90.0,6074,8.9437,1.9,1.2,1.24,0.96,1.4,11.06
