HIP,RAJ2000,DEJ2000,Dist,Teff,mag,Lum,Mass,Rad,CHZ,OHZ,plx
1,00 00 00.2188,+01 05 20.4480,220.0,6388,9.2043,8.7,1.4,2.4,2.0,3.0,4.55
2,00 00 00.9114,-19 29 55.8146,48.0,4506,9.4017,0.614,0.68,1.3,0.7,0.9,20.85
4,00 00 02.0117,-51 53 36.7660,130.0,7005,8.1498,8.5,1.6,2.0,1.9,3.0,7.45
10,00 00 08.7007,-50 52 01.4651,92.3,6475,8.6994,2.6,1.4,1.3,1.1,1.5,10.83
17,00 00 12.2639,-40 11 32.3822,140.0,6575,8.2405,8.4,1.4,2.23,1.9,3.0,7.33
18,00 00 12.7535,-04 03 13.4559,45.0,4159,11.0625,0.13,0.59,0.7,0.3,0.4,22.31
20,00 00 15.1082,+23 31 45.4234,97.0,6167,8.6208,3.0,1.3,1.5,1.2,1.7,10.35
23,00 00 17.8631,+13 18 43.9595,86.0,6446,7.6626,5.5,1.4,1.9,1.6,2.2,11.59
25,00 00 19.0478,-44 17 25.0703,81.4,5686,6.4211,18.0,1.0,4.4,3.0,4.0,12.29
26,00 00 20.2430,-13 23 35.8692,100.0,6216,9.2438,1.9,1.3,1.2,0.96,1.4,9.92
28,00 00 20.9398,-43 21 42.4785,200.0,6490,8.9385,9.4,1.4,2.4,2.1,3.0,5.05
33,00 00 23.8033,-10 27 44.8357,114.0,6575,8.2076,5.9,1.4,1.9,1.6,2.3,8.79
34,00 00 23.8728,+26 55 05.6575,75.0,6319,6.5466,12.3,1.3,2.9,2.4,3.0,13.4
37,00 00 25.2844,-47 10 46.5023,380.0,6607,10.5345,8.0,1.4,2.16,1.9,3.0,2.62
42,00 00 30.0928,+25 50 41.2095,160.0,6552,8.291,11.0,1.4,2.6,2.2,3.0,6.12
45,00 00 32.2091,-72 12 09.7578,62.3,5932,9.7391,0.64,1.12,0.76,0.6,0.8,16.05
49,00 00 33.4801,+16 40 08.5143,380.0,6268,9.6309,18.0,1.3,3.6,3.0,4.0,2.66
50,00 00 34.2889,-53 05 51.5856,59.0,6054,6.6231,7.6,1.19,2.5,1.9,3.0,16.83
53,00 00 35.3735,-29 15 48.1776,1900.0,7025,11.1006,130.0,1.6,7.6,7.0,10.0,0.52
57,00 00 40.3885,-69 40 32.8819,30.0,5281,8.4078,0.44,0.87,0.79,0.5,0.7,33.48
58,00 00 41.7032,+62 10 33.6172,39.0,6276,7.1625,1.9,1.3,1.17,0.9,1.3,25.77
60,00 00 42.1016,-64 27 56.9703,170.0,6833,8.4336,10.9,1.5,2.4,2.2,3.0,5.81
66,00 00 45.2516,-72 19 05.6975,130.0,6856,8.6404,4.9,1.5,1.6,1.4,2.1,7.86
67,00 00 47.7843,+23 32 17.6956,150.0,6272,7.9346,13.0,1.3,3.09,3.0,4.0,6.65
70,00 00 48.6730,+36 46 39.4868,170.0,5200,10.587,1.5,0.85,1.5,0.96,1.3,5.94
71,00 00 49.7037,+36 46 48.5504,140.0,5231,8.4174,9.8,0.85,3.8,2.4,3.0,7.3
79,00 00 56.5735,+35 19 00.3138,270.0,5823,8.8073,20.0,1.07,4.4,3.0,4.0,3.69
85,00 01 01.4418,-24 42 50.5757,300.0,6896,10.6983,4.19,1.5,1.4,1.3,1.9,3.28
87,00 01 02.7637,-05 50 05.9124,340.0,6269,7.9001,68.0,1.3,7.0,6.0,8.0,2.94
90,00 01 07.2000,-41 53 14.7468,113.0,6439,7.7519,9.16,1.4,2.4,2.0,3.0,8.83
93,00 01 10.1335,-00 04 33.3130,61.2,6024,8.2479,1.8,1.17,1.24,0.95,1.3,16.34
94,00 01 10.7648,-32 45 24.5001,90.7,5928,10.2385,0.66,1.12,0.77,0.6,0.8,11.02
95,00 01 12.4894,-11 57 50.4012,150.0,6326,8.7811,6.3,1.3,2.09,1.7,2.4,6.7
96,00 01 13.1737,+13 58 29.0918,35.0,4000,10.6082,0.15,0.55,0.79,0.4,0.5,28.45
97,00 01 13.7600,-21 24 14.5627,180.0,6398,9.5922,4.3,1.4,1.7,1.4,2.0,5.55
98,00 01 13.7227,-52 47 54.8858,170.0,6249,9.989,2.9,1.3,1.4,1.2,1.6,5.72
101,00 01 16.7429,-47 47 37.7879,120.0,6504,9.9922,1.3,1.4,0.9,0.8,1.1,8.33
103,00 01 17.3146,-68 22 15.7065,110.0,6272,8.4078,4.9,1.3,1.9,1.5,2.1,9.1
104,00 01 18.4168,-31 53 58.6198,98.0,6061,9.4615,1.5,1.19,1.12,0.9,1.2,10.24
105,00 01 18.6826,+70 55 44.2479,280.0,6079,7.8284,54.0,1.2,6.6,5.0,7.0,3.62
109,00 01 23.1844,+06 47 29.3678,170.0,6694,7.3153,30.0,1.4,4.07,4.0,5.0,5.79
110,00 01 23.6899,+39 36 38.9445,50.0,5405,8.7231,0.87,0.908,1.07,0.7,0.99,20.15
114,00 01 29.2023,+30 44 09.1649,118.0,5549,8.06,7.5,0.96,3.0,2.0,3.0,8.49
116,00 01 30.0945,-33 47 33.7359,130.0,6752,8.6976,4.6,1.5,1.6,1.4,2.0,7.98
118,00 01 32.7566,-09 25 48.1294,78.0,6137,9.3268,0.94,1.24,0.86,0.7,0.95,12.88
125,00 01 37.1357,-39 20 12.0472,222.0,6835,8.7833,13.0,1.5,2.6,2.4,3.0,4.5
129,00 01 39.7445,+05 22 21.9024,170.0,6147,9.446,4.3,1.24,1.8,1.4,2.0,5.98
132,00 01 41.2813,-34 39 12.6277,480.0,6983,10.7028,10.0,1.5,2.16,2.0,3.0,2.1
133,00 01 41.6085,-40 08 55.1973,209.0,6210,6.7434,79.0,1.3,7.7,6.0,9.0,4.79
135,00 01 42.4190,-00 13 02.9978,50.0,5881,8.7706,0.74,1.1,0.83,0.6,0.9,19.97
142,00 01 48.8998,+66 18 21.6081,60.0,5751,7.4726,3.7,1.0,1.9,1.4,2.0,16.76
148,00 01 54.9103,+15 31 42.7024,260.0,5916,8.2766,30.0,1.12,5.22,4.0,5.0,3.9
151,00 01 56.2998,-41 36 49.4522,140.0,6903,7.8718,11.2,1.5,2.3,2.2,3.0,7.36
152,00 01 56.2687,-28 07 51.4397,190.0,6617,10.1237,2.9,1.4,1.3,1.1,1.6,5.28
153,00 01 56.2908,+12 39 17.8313,180.0,6215,9.0038,6.7,1.3,2.24,1.8,3.0,5.64
162,00 02 03.2082,+27 07 07.0305,390.0,5804,9.9701,15.0,1.06,3.9,3.0,4.0,2.56
165,00 02 04.7388,-22 19 38.8935,760.0,6723,10.2635,39.0,1.4,4.6,4.0,6.0,1.31
166,00 02 05.1664,-56 30 53.6460,107.0,5873,8.997,2.8,1.1,1.6,1.2,1.7,9.38
170,00 02 09.0426,-20 52 17.9118,212.0,6280,9.7406,5.3,1.3,2.0,1.6,2.2,4.71
173,00 02 11.9039,+47 34 38.0000,380.0,7199,8.5172,47.0,1.6,4.4,4.0,6.0,2.63
176,00 02 12.8003,+44 25 41.7988,216.0,6041,8.9785,11.7,1.18,3.12,2.4,3.0,4.63
178,00 02 16.2710,-27 08 06.6228,109.0,6309,8.0951,6.3,1.3,2.1,1.7,2.4,9.19
184,00 02 21.5462,+11 00 22.8273,31.2,5064,8.62,0.39,0.807,0.808,0.5,0.7,32.06
187,00 02 24.5073,-06 03 33.0549,130.0,6499,9.0992,3.4,1.4,1.5,1.2,1.8,7.77
188,00 02 24.6010,+06 19 59.2922,100.0,6093,8.7493,2.9,1.21,1.5,1.2,1.7,9.95
193,00 02 29.1936,-39 12 44.9970,221.0,5001,9.6224,8.8,0.79,4.0,2.4,3.0,4.53
195,00 02 30.1769,+47 25 22.6547,118.0,6302,7.7337,10.0,1.3,2.7,2.2,3.0,8.5
200,00 02 32.5113,-33 59 33.6198,260.0,6834,10.4003,4.11,1.5,1.4,1.3,1.9,3.87
201,00 02 33.4354,+18 41 00.1118,92.2,6235,8.3428,3.5,1.3,1.6,1.3,1.8,10.85
202,00 02 34.0162,+54 33 07.7794,690.0,7022,8.6895,130.0,1.6,7.7,7.0,10.0,1.45
205,00 02 34.9706,-05 11 11.9197,125.0,6773,8.6326,4.8,1.5,1.6,1.4,2.0,8.02
206,00 02 35.2417,+18 50 09.5850,100.0,6214,8.6621,3.18,1.3,1.5,1.2,1.7,9.62
210,00 02 38.9156,-08 29 16.5972,130.0,6026,9.1827,3.4,1.17,1.7,1.3,1.8,7.42
211,00 02 39.1629,-37 56 51.6501,200.0,5244,9.6688,6.12,0.86,3.0,1.9,3.0,5.1
212,00 02 39.2263,-29 04 30.9048,190.0,6873,10.3113,2.5,1.5,1.11,1.0,1.4,5.16
219,00 02 45.6551,+06 02 04.0286,98.0,6073,8.6941,2.9,1.2,1.5,1.2,1.7,10.18
221,00 02 46.3713,+80 16 56.0690,150.0,6401,7.788,15.0,1.4,3.15,3.0,4.0,6.72
225,00 02 48.0153,-15 02 25.9130,117.0,6489,9.1436,2.7,1.4,1.3,1.1,1.6,8.58
227,00 02 48.9886,+80 17 11.4513,87.0,6623,9.9156,0.72,1.4,0.64,0.6,0.8,11.46
228,00 02 50.4365,+28 15 06.8089,100.0,5910,7.7548,7.0,1.11,2.5,1.9,3.0,9.92
230,00 02 51.7669,+30 20 11.4569,130.0,6460,8.5372,5.7,1.4,1.9,1.6,2.3,7.61
231,00 02 53.6193,-58 46 53.0069,280.0,6199,9.6924,10.0,1.3,2.8,2.2,3.0,3.52
234,00 02 56.0593,+70 14 16.8280,490.0,7044,9.7232,26.0,1.6,3.4,3.0,5.0,2.04
237,00 02 57.3869,-39 31 38.3610,160.0,5211,9.159,6.3,0.85,3.09,2.0,3.0,6.33
239,00 02 58.3617,+03 22 54.9747,170.0,6236,8.6684,8.4,1.3,2.5,2.0,3.0,6.02
240,00 02 58.5044,+09 47 42.7924,300.0,5851,10.9356,3.6,1.09,1.8,1.4,1.9,3.37
244,00 03 02.1275,+39 59 42.5482,270.0,5936,8.0413,41.1,1.13,6.07,5.0,6.0,3.77
247,00 03 03.7268,+08 15 41.0888,180.0,6599,9.2898,6.0,1.4,1.9,1.6,2.3,5.43
248,00 03 03.7803,+08 16 14.8964,111.0,6457,8.1813,5.05,1.4,1.8,1.5,2.1,9.03
249,00 03 05.8071,+31 52 12.3711,80.9,6066,8.873,1.7,1.19,1.19,0.9,1.3,12.36
255,00 03 10.6857,-24 35 17.8361,91.7,6712,8.0649,4.4,1.4,1.6,1.4,2.0,10.9
256,00 03 11.1828,+54 30 57.0368,225.0,6621,9.6346,6.3,1.4,1.9,1.7,2.4,4.45
260,00 03 16.1030,-55 24 18.3189,170.0,6926,9.7379,3.05,1.5,1.21,1.1,1.6,6.01
261,00 03 16.9205,-23 36 55.2437,200.0,6359,9.2118,7.6,1.4,2.3,1.9,3.0,4.98
262,00 03 18.1911,+32 50 45.1294,180.0,5833,9.1337,6.8,1.08,2.6,1.9,3.0,5.51
263,00 03 19.0170,+04 41 13.6868,29.0,3709,12.126,0.039,0.45,0.48,0.19,0.3,34.24
267,00 03 20.4987,-04 08 44.6288,99.0,6164,8.1794,4.4,1.3,1.8,1.5,2.1,10.15
275,00 03 25.8421,-29 00 02.2095,170.0,6602,9.5343,3.9,1.4,1.5,1.3,1.9,5.94
277,00 03 26.2269,-36 15 04.3380,66.0,7170,7.0474,5.6,1.6,1.5,1.5,2.1,15.24
283,00 03 30.5174,+12 21 24.5838,140.0,6746,7.533,17.0,1.4,3.0,3.0,4.0,6.92
290,00 03 36.9873,-31 05 38.5173,65.0,6161,7.8974,2.7,1.3,1.5,1.2,1.6,15.43
293,00 03 39.8160,-57 09 51.9804,83.0,6429,8.4013,2.8,1.4,1.3,1.1,1.6,12.06
294,00 03 40.1175,+03 54 25.2160,120.0,6488,7.9774,7.6,1.4,2.18,1.9,3.0,8.33
295,00 03 40.4796,-41 05 45.0819,340.0,6955,9.7755,11.9,1.5,2.4,2.2,3.0,2.98
299,00 03 44.1052,-63 36 02.3813,109.0,6457,8.5569,4.0,1.4,1.6,1.4,1.9,9.2
305,00 03 53.2949,-28 23 37.5706,47.0,5732,7.8093,1.7,1.0,1.3,0.9,1.3,21.32
307,00 03 55.1307,-42 33 34.1973,76.0,4465,11.7029,0.205,0.67,0.76,0.4,0.5,13.24
311,00 03 57.0214,+36 58 12.7627,170.0,6493,8.5403,9.9,1.4,2.5,2.1,3.0,5.9
313,00 03 57.8646,-48 07 30.6741,100.0,6718,8.1114,5.3,1.4,1.7,1.5,2.1,9.77
314,00 03 58.0144,+20 57 13.7497,150.0,6075,8.4068,8.21,1.2,2.6,2.0,3.0,6.89
315,00 03 58.1301,-71 16 43.0853,140.0,5969,9.7543,2.5,1.14,1.5,1.1,1.6,6.93
316,00 04 00.2393,+12 08 45.0012,180.0,7076,7.2951,30.0,1.6,3.7,4.0,5.0,5.67
317,00 04 00.6080,-80 23 42.2514,170.0,7173,7.9968,15.0,1.6,2.5,2.5,4.0,5.92
320,00 04 05.1043,-16 59 51.5048,190.0,6601,12.2227,0.45,1.4,0.515,0.4,0.6,5.3
321,00 04 07.8410,-25 53 33.1786,96.0,6106,9.0632,2.07,1.22,1.3,1.0,1.4,10.46
324,00 04 10.2105,+17 26 12.0611,150.0,6337,8.6374,6.6,1.4,2.13,1.7,2.5,6.81
327,00 04 11.0788,-04 55 33.9857,650.0,6714,9.658,44.0,1.4,4.9,4.0,6.0,1.55
329,00 04 12.3298,-10 08 28.6051,112.0,5253,9.9799,1.4,0.86,1.4,0.9,1.3,8.96
332,00 04 14.6002,-34 24 52.7528,150.0,6209,8.5316,8.6,1.3,2.5,2.0,3.0,6.46
340,00 04 17.7200,-43 59 17.9741,77.0,6432,8.2193,2.8,1.4,1.4,1.1,1.6,12.91
342,00 04 18.9560,-20 34 07.4821,121.0,6266,9.7163,1.8,1.3,1.13,0.9,1.3,8.24
350,00 04 23.8342,-57 19 22.3493,48.0,4721,10.5387,0.207,0.724,0.68,0.4,0.5,20.94
356,00 04 30.1685,-06 57 55.2141,90.8,5968,8.5536,3.0,1.14,1.6,1.2,1.7,11.01
357,00 04 30.5265,-72 53 49.9948,94.0,6600,7.4271,8.4,1.4,2.21,1.9,3.0,10.66
359,00 04 34.6245,-76 52 24.7331,56.0,5821,9.2227,0.66,1.07,0.8,0.6,0.8,17.7
378,00 04 41.2605,+14 57 55.2093,91.7,6703,7.4635,7.7,1.4,2.06,1.8,3.0,10.91
380,00 04 42.7111,+17 04 11.2072,123.0,5236,8.7147,5.06,0.86,2.7,1.8,2.4,8.13
382,00 04 45.1591,-32 21 39.6829,180.0,6994,9.1456,6.4,1.5,1.7,1.6,2.3,5.41
383,00 04 45.3293,+00 03 23.3668,214.0,6253,8.9174,10.0,1.3,2.7,2.2,3.0,4.68
384,00 04 46.2868,+01 32 12.9891,140.0,6534,8.2711,7.7,1.4,2.16,1.9,3.0,7.26
385,00 04 46.8371,+38 10 25.7743,93.0,5576,9.4801,1.4,0.97,1.3,0.9,1.2,10.81
388,00 04 50.4618,+06 25 00.0535,180.0,6963,9.2418,5.7,1.5,1.6,1.5,2.2,5.48
390,00 04 50.8207,+50 14 05.5571,200.0,5771,11.8133,0.95,1.0,0.98,0.7,0.99,5.12
392,00 04 51.9636,+30 05 09.3539,114.0,6300,8.0328,7.0,1.3,2.22,1.8,3.0,8.8
402,00 04 56.3864,+64 46 53.0683,130.0,6437,8.2509,7.5,1.4,2.2,1.8,3.0,7.79
403,00 04 56.9289,-18 10 42.6120,89.0,5915,9.1099,1.8,1.12,1.3,0.95,1.3,11.18
404,00 04 57.5082,+45 40 26.2278,71.1,6190,7.5396,4.5,1.3,1.8,1.5,2.1,14.06
409,00 04 59.0614,-70 29 32.6974,112.0,6439,8.5093,4.5,1.4,1.7,1.4,2.0,8.9
412,00 05 01.8140,+66 31 00.4442,150.0,5985,8.7557,5.8,1.15,2.3,1.7,2.4,6.48
415,00 05 03.3115,+09 16 48.1010,100.0,6677,9.0345,2.3,1.4,1.13,1.0,1.4,9.8
416,00 05 03.4562,+01 02 16.1823,90.0,5490,8.9812,2.08,0.94,1.6,1.1,1.5,11.08
423,00 05 09.2612,+30 19 44.8130,250.0,6621,7.8705,39.0,1.4,4.7,4.0,6.0,3.95
425,00 05 09.7148,-62 50 42.9753,69.0,6086,8.262,2.23,1.21,1.3,1.0,1.5,14.55
429,00 05 10.1584,+02 23 50.3182,99.0,5777,8.8273,2.7,1.0,1.6,1.2,1.7,10.13
431,00 05 12.4765,+36 18 13.2521,260.0,5984,8.2011,30.0,1.15,5.12,4.0,5.0,3.84
434,00 05 15.2373,-27 16 17.7902,390.0,5590,9.1658,34.0,0.97,6.22,4.0,6.0,2.58
435,00 05 15.2581,-49 08 31.9729,95.0,6388,9.4164,1.4,1.4,0.97,0.8,1.1,10.57
449,00 05 22.7377,-33 29 57.8909,106.0,5643,9.3116,2.17,0.99,1.5,1.1,1.5,9.45
451,00 05 24.2790,+16 19 44.6777,280.0,6680,8.7366,26.0,1.4,3.8,3.0,5.0,3.51
452,00 05 25.3583,+21 34 09.8494,540.0,5705,10.0333,30.0,1.0,5.6,4.0,6.0,1.85
455,00 05 27.5393,+76 17 29.6247,69.0,4410,12.1527,0.196,0.65,0.76,0.4,0.5,14.47
461,00 05 29.0563,+34 06 20.3616,97.0,6248,7.9647,5.8,1.3,2.05,1.7,2.3,10.3
462,00 05 31.1083,-09 37 02.2696,50.7,6166,7.2311,2.8,1.3,1.5,1.2,1.6,19.74
467,00 05 35.1450,-47 34 09.5466,170.0,5583,9.8664,3.3,0.97,1.9,1.4,1.9,6.01
478,00 05 43.0254,-22 30 35.1728,600.0,6243,9.78,40.0,1.3,5.4,4.0,6.0,1.67
481,00 05 44.0648,-36 46 42.4413,150.0,5883,10.2824,1.5,1.1,1.2,0.9,1.3,6.89
486,00 05 49.6926,-52 49 12.3593,200.0,6267,9.4799,6.0,1.3,2.07,1.7,2.4,5.02
487,00 05 50.9799,+78 44 18.2738,99.0,5782,9.5695,1.5,1.05,1.21,0.9,1.2,10.09
488,00 05 51.0158,-68 33 04.6385,116.0,5655,10.1214,1.3,1.0,1.18,0.8,1.2,8.65
490,00 05 52.4681,-41 45 10.3754,39.0,6103,7.6375,1.3,1.22,1.0,0.8,1.1,25.39
492,00 05 54.8477,-14 25 57.8243,130.0,6372,9.6904,2.21,1.4,1.22,1.0,1.4,7.47
494,00 05 55.1312,-68 48 41.8590,78.0,6061,9.1141,1.3,1.19,1.0,0.8,1.1,12.85
497,00 05 57.0455,+49 37 20.4533,150.0,7078,7.6243,16.0,1.6,2.7,3.0,4.0,6.82
509,00 06 05.2037,-31 26 39.6169,79.0,5917,9.8044,0.75,1.12,0.824,0.6,0.9,12.61
510,00 06 08.0225,+09 42 53.8730,87.0,6275,7.9035,4.5,1.3,1.8,1.5,2.0,11.52
514,00 06 11.7429,-23 32 18.8358,250.0,6735,9.9412,5.8,1.4,1.8,1.6,2.2,4.05
515,00 06 13.1593,-01 53 13.3842,160.0,6117,8.798,6.9,1.23,2.3,1.8,3.0,6.36
517,00 06 15.3086,-55 29 55.3074,170.0,6628,8.9904,6.7,1.4,2.0,1.7,2.4,5.78
518,00 06 15.5386,+58 26 12.0835,21.5,4868,6.1061,2.3,0.76,2.13,1.2,1.7,46.56
519,00 06 16.8024,-64 14 25.8531,170.0,6526,8.0208,17.0,1.4,3.2,3.0,4.0,5.72
524,00 06 19.9218,-12 01 01.9146,140.0,6523,8.8538,4.7,1.4,1.7,1.5,2.1,7.38
528,00 06 21.8180,-24 36 09.1799,230.0,6051,10.2554,4.0,1.19,1.8,1.4,2.0,4.3
529,00 06 24.9612,-18 02 17.7241,140.0,6771,7.4051,19.0,1.5,3.17,3.0,4.0,7.04
530,00 06 25.9629,+42 45 09.9303,107.0,5972,8.4839,4.5,1.14,2.0,1.5,2.1,9.38
532,00 06 26.8608,-74 24 04.0023,209.0,6492,9.9841,4.0,1.4,1.6,1.3,1.9,4.78
535,00 06 28.4322,-43 37 39.7987,150.0,6215,10.2166,1.7,1.3,1.14,0.9,1.3,6.58
537,00 06 31.3152,-21 30 04.6220,210.0,6818,9.444,6.4,1.5,1.8,1.7,2.3,4.76
539,00 06 33.9607,+43 46 56.1883,130.0,6630,8.9635,4.15,1.4,1.5,1.4,1.9,7.47
541,00 06 35.6389,-47 35 05.0784,112.0,6229,9.8195,1.4,1.3,1.0,0.8,1.1,8.9
543,00 06 36.1742,-25 17 44.3974,1000.0,6306,10.3994,60.0,1.3,6.5,5.0,8.0,0.99
547,00 06 39.6140,-24 37 14.4184,180.0,6274,8.676,9.6,1.3,2.6,2.1,3.0,5.7
551,00 06 43.8326,+08 39 26.4140,190.0,5019,11.0756,1.25,0.8,1.5,0.9,1.2,5.27
554,00 06 46.3280,-13 44 55.2744,85.0,5812,9.9977,0.73,1.07,0.84,0.6,0.9,11.81
555,00 06 46.5968,+10 04 08.3718,170.0,5928,9.8475,3.0,1.12,1.7,1.2,1.7,5.85
556,00 06 46.9379,-04 20 59.3223,111.0,5996,8.3312,5.3,1.15,2.13,1.6,2.3,9.03
557,00 06 46.9777,+23 29 37.7359,208.0,6458,8.8153,11.3,1.4,2.7,2.3,3.0,4.8
560,00 06 50.0246,-23 06 26.7312,39.0,6913,6.275,4.16,1.5,1.4,1.3,1.9,25.39
561,00 06 50.3057,+68 10 01.6530,230.0,5245,11.8732,1.11,0.86,1.3,0.8,1.1,4.37
564,00 06 51.3129,-45 51 50.1564,660.0,6221,10.3191,29.0,1.3,4.6,4.0,5.0,1.51
565,00 06 52.3240,+01 51 39.6411,130.0,6311,9.0997,3.7,1.3,1.6,1.3,1.9,7.45
570,00 06 55.3849,-30 36 30.6384,35.0,5889,12.0119,0.018,1.1,0.13,0.096,0.13,28.95
571,00 06 55.7437,-30 36 11.0953,114.0,6892,10.3521,0.82,1.5,0.64,0.6,0.8,8.78
574,00 06 59.5025,-40 24 50.4231,230.0,6698,9.0627,11.0,1.4,2.5,2.2,3.0,4.33
575,00 06 59.5717,+65 32 19.3822,210.0,6160,10.5218,2.6,1.3,1.4,1.1,1.6,4.77
578,00 07 01.9939,+22 50 40.1599,130.0,6598,8.3798,6.5,1.4,2.0,1.7,2.4,7.42
580,00 07 02.5696,-18 49 14.7228,270.0,6278,8.3645,29.0,1.3,4.6,4.0,5.0,3.74
584,00 07 07.5691,-15 51 00.3080,96.0,6220,8.7833,2.6,1.3,1.4,1.1,1.6,10.43
586,00 07 08.0097,-23 02 10.1074,140.0,5903,10.6315,1.15,1.11,1.0,0.8,1.1,6.96
587,00 07 08.2648,-37 55 44.9107,180.0,6697,8.503,11.7,1.4,2.5,2.3,3.0,5.45
588,00 07 08.3211,+14 49 25.4993,180.0,6908,9.2587,5.6,1.5,1.7,1.5,2.2,5.45
589,00 07 09.0572,+72 46 30.8098,250.0,7169,8.5062,20.0,1.6,2.9,3.0,4.0,4.05
593,00 07 12.5852,+06 12 15.5585,190.0,7038,8.931,7.9,1.6,1.9,1.8,3.0,5.31
595,00 07 12.7774,-22 01 39.6366,130.0,6358,10.3904,1.0,1.4,0.824,0.7,0.96,7.97
596,00 07 13.2898,-76 43 51.2970,80.0,6600,7.6537,4.9,1.4,1.7,1.5,2.1,12.52
597,00 07 13.7076,+73 12 37.1385,230.0,6640,7.9708,30.8,1.4,4.2,4.0,5.0,4.27
599,00 07 15.4259,-41 53 22.5997,59.0,5945,8.3563,1.7,1.13,1.24,0.9,1.3,16.89
603,00 07 18.3900,+07 42 12.8589,170.0,6097,7.7436,19.0,1.21,3.9,3.0,4.0,6.03
604,00 07 19.4946,+01 39 54.3159,112.0,5786,9.0823,2.8,1.05,1.7,1.2,1.7,8.95
612,00 07 28.0552,-56 00 41.5715,140.0,6487,7.5876,17.0,1.4,3.24,3.0,4.0,7.0
617,00 07 32.7950,+32 00 31.6032,93.0,6544,8.5965,2.8,1.4,1.3,1.1,1.6,10.72
618,00 07 34.7013,-60 38 30.2207,109.0,6199,8.501,4.4,1.3,1.8,1.5,2.0,9.16
623,00 07 37.4238,+53 31 35.5354,116.0,7072,8.4573,4.8,1.6,1.5,1.4,2.0,8.61
624,00 07 37.4072,-45 07 09.4725,120.0,6124,8.3275,6.4,1.23,2.3,1.8,2.5,8.32
630,00 07 40.5070,+39 02 05.6857,106.0,6600,8.1159,5.8,1.4,1.8,1.6,2.3,9.4
634,00 07 43.1007,+37 11 07.7360,125.0,6307,7.5464,13.0,1.3,3.0,2.4,3.0,8.01
643,00 07 54.6994,-42 09 13.8627,190.0,6280,10.2299,2.7,1.3,1.4,1.1,1.6,5.18
645,00 07 59.1841,-14 13 36.1599,109.0,7184,8.9845,2.4,1.6,1.0,0.99,1.4,9.2
649,00 08 00.2524,-07 32 41.1835,86.0,6257,7.9536,4.3,1.3,1.8,1.4,2.0,11.63
650,00 08 00.7598,+29 50 15.0241,208.0,6629,7.6315,33.0,1.4,4.4,4.0,5.0,4.81
651,00 08 00.7949,-39 36 43.4693,210.0,6509,9.82,4.7,1.4,1.7,1.5,2.1,4.77
656,00 08 04.6192,+53 47 47.0268,109.0,5975,8.2746,5.8,1.14,2.24,1.7,2.4,9.14
657,00 08 05.0160,-29 24 58.9470,240.0,4987,9.7784,8.8,0.79,4.0,2.4,3.0,4.22
665,00 08 13.1625,-43 38 48.0934,116.0,5825,10.4294,0.88,1.07,0.922,0.7,0.9,8.62
666,00 08 13.6248,-49 43 18.6100,260.0,6442,10.2499,4.7,1.4,1.7,1.5,2.1,3.92
669,00 08 16.3701,-14 49 28.0773,27.0,6003,7.17,0.99,1.16,0.921,0.7,0.99,36.44
670,00 08 16.9463,+34 29 42.9587,500.0,7048,8.8855,58.0,1.6,5.1,5.0,7.0,1.99
674,00 08 21.0495,-42 56 37.1598,113.0,5456,9.9915,1.4,0.93,1.3,0.9,1.2,8.83
681,00 08 25.3122,-51 24 02.7331,417.0,6600,9.5373,23.0,1.4,3.7,3.0,5.0,2.4
682,00 08 25.6942,+06 37 00.5054,39.0,5962,7.7269,1.23,1.14,1.0,0.8,1.1,25.59
686,00 08 27.0911,-30 04 06.8002,214.0,6496,9.6174,5.9,1.4,1.9,1.6,2.3,4.68
687,00 08 27.3363,+17 25 28.0368,21.7,3838,10.8784,0.058,0.5,0.55,0.23,0.3,45.98
688,00 08 27.6321,-24 05 37.5051,123.0,6420,7.7081,11.3,1.4,2.7,2.3,3.0,8.12
689,00 08 28.3850,+34 56 04.2829,86.0,5896,7.5384,6.4,1.11,2.4,1.8,3.0,11.69
690,00 08 29.7751,-66 30 50.9204,90.0,5900,9.3972,1.4,1.11,1.14,0.8,1.2,11.05
691,00 08 30.1226,+52 20 11.0520,77.0,6971,7.8687,3.7,1.5,1.3,1.2,1.8,13.01
693,00 08 31.2621,+20 16 02.5143,106.0,6281,9.0374,2.3,1.3,1.3,1.1,1.5,9.4
694,00 08 31.5144,+11 10 17.5324,280.0,6397,9.047,17.0,1.4,3.4,3.0,4.0,3.51
697,00 08 35.3068,+53 15 14.7913,130.0,6639,7.855,11.6,1.4,2.6,2.3,3.0,7.43
706,00 08 46.1836,-34 47 39.7965,170.0,6448,7.982,16.0,1.4,3.18,3.0,4.0,6.04
708,00 08 46.8320,-36 44 38.6947,140.0,6500,8.7523,5.8,1.4,1.9,1.6,2.3,6.98
715,00 08 51.8373,-25 32 52.0971,840.0,6569,10.3432,44.0,1.4,5.12,4.0,6.0,1.19
718,00 08 52.8998,-42 55 05.5602,280.0,6444,10.6431,3.9,1.4,1.6,1.3,1.9,3.55
722,00 08 56.5644,+12 48 16.0988,80.0,6111,8.5949,2.3,1.22,1.4,1.1,1.5,12.46
727,00 08 59.9451,+49 51 29.1914,130.0,6862,8.1168,7.8,1.5,2.0,1.8,3.0,7.99
732,00 09 02.6552,-35 05 30.6587,140.0,6723,7.8732,12.4,1.4,2.6,2.3,3.0,7.06
